tag, None, ENAMEX-PERSON, ENAMEX-ORGANIZATION, ENAMEX-LOCATION
CC_0, 0.00171250784354737503, 0, 0, 0
CC_1, 0.00254915289688349718, 0, 0, 0
CC_100*, 6.5362894791884543e-05, 0, 0, 0
CC_102*, 0.000313741895001045806, 0, 0, 0
CC_103*, 0.00173865300146412884, 0.000582411182294700058, 0.000344352617079889807, 0
CC_107*, 0.000718991842710729973, 0, 0, 0
CC_11*, 0.000274524158125915081, 0, 0, 0
CC_114*, 0.00150334658021334449, 0, 0, 0
CC_144*, 0.00194781426479815938, 0, 0, 0.00102301790281329923
CC_146*, 6.5362894791884543e-05, 0.000582411182294700058, 0.000688705234159779614, 0
CC_156*, 0, 0, 0.000344352617079889807, 0
CC_173*, 7.84354737502614516e-05, 0, 0, 0
CC_174*, 0.00065362894791884543, 0, 0, 0
CC_175*, 0.000196088684375653629, 0, 0, 0
CC_176*, 0.000339887052917799624, 0, 0, 0
CC_177*, 3.92177368751307258e-05, 0, 0, 0
CC_179*, 5.22903158335076344e-05, 0, 0, 0
CC_2, 0.00861482953357038276, 0, 0.00172176308539944904, 0
CC_25*, 2.61451579167538172e-05, 0, 0, 0
CC_29*, 0.000261451579167538172, 0, 0, 0
CC_3, 0.000209161263334030538, 0, 0.00344352617079889807, 0
CC_35*, 0.000274524158125915081, 0, 0, 0
CC_39*, 0.000156870947500522903, 0, 0, 0
CC_4, 0.000352959631876176532, 0, 0, 0
CC_46*, 1.30725789583769086e-05, 0, 0, 0
CC_5, 0.00179094331729763648, 0, 0, 0
CC_52*, 0.000418322526668061075, 0.00174723354688410017, 0, 0
CC_53*, 0.000104580631667015269, 0, 0, 0
CC_56*, 2.61451579167538172e-05, 0, 0, 0
CC_57*, 0.000117653210625392177, 0, 0, 0
CC_59*, 0.000143798368542145995, 0, 0, 0
CC_6*, 2.61451579167538172e-05, 0, 0, 0
CC_60*, 0.000156870947500522903, 0, 0, 0
CC_63*, 2.61451579167538172e-05, 0, 0, 0
CC_66*, 2.61451579167538172e-05, 0, 0, 0
CC_67*, 1.30725789583769086e-05, 0, 0, 0
CC_69*, 2.61451579167538172e-05, 0, 0, 0
CC_74*, 0.000235306421250784355, 0, 0, 0
CC_75*, 0.000300669316042668898, 0, 0, 0
CC_77*, 9.15080527086383602e-05, 0, 0, 0
CC_79*, 2.61451579167538172e-05, 0, 0, 0
CC_83*, 6.5362894791884543e-05, 0, 0, 0
CC_84*, 1.30725789583769086e-05, 0, 0, 0
CC_92*, 5.22903158335076344e-05, 0, 0, 0
CC_93*, 0.000143798368542145995, 0, 0, 0
CC_97*, 7.84354737502614516e-05, 0, 0, 0
CD_0, 0.000209161263334030538, 0, 0, 0
CD_1, 5.22903158335076344e-05, 0, 0, 0
CD_10, 2.61451579167538172e-05, 0, 0, 0
CD_11, 1.30725789583769086e-05, 0, 0, 0
CD_12, 0.000274524158125915081, 0, 0, 0
CD_13, 0.000130725789583769086, 0, 0, 0
CD_14, 0.000705919263752353064, 0, 0, 0
CD_15, 0.00176479815938088266, 0, 0.00103305785123966942, 0.00204603580562659847
CD_16, 0.000379104789792930349, 0, 0, 0
CD_17, 0.00116345952729554487, 0, 0.00137741046831955923, 0
CD_18, 0.000366032210834553441, 0, 0.000344352617079889807, 0.000511508951406649616
CD_19, 0.00101966115875339887, 0, 0, 0
CD_2, 0.000248379000209161263, 0, 0.000344352617079889807, 0
CD_20, 0.0013726207906295754, 0, 0, 0
CD_21, 0.00742522484835808408, 0, 0, 0
CD_22, 0.00139876594854632922, 0, 0, 0
CD_23, 0.00222233842292407446, 0, 0, 0
CD_24, 0.000444467684584814892, 0, 0, 0
CD_25, 0.000326814473959422715, 0, 0, 0
CD_26, 0.000784354737502614516, 0, 0.000688705234159779614, 0.000511508951406649616
CD_29*, 0.000352959631876176532, 0, 0, 0
CD_3, 0.000130725789583769086, 0, 0.000344352617079889807, 0
CD_30*, 6.5362894791884543e-05, 0, 0, 0
CD_4, 0.000862790211252875967, 0, 0.00206611570247933884, 0
CD_5, 0.00241842710729972809, 0, 0, 0
CD_6, 0.000209161263334030538, 0, 0, 0
CD_60*, 6.5362894791884543e-05, 0, 0, 0
CD_68*, 6.5362894791884543e-05, 0, 0, 0
CD_7, 0.000261451579167538172, 0, 0, 0
CD_8, 0.000274524158125915081, 0, 0.000688705234159779614, 0
CD_82*, 7.84354737502614516e-05, 0, 0, 0
CD_83*, 0.000300669316042668898, 0, 0, 0
CD_9, 1.30725789583769086e-05, 0, 0, 0
CLOSEPAREN_0, 0.000156870947500522903, 0, 0, 0
CLOSEPAREN_1, 0.00100658857979502196, 0, 0, 0
CLOSEQUOTE_0, 0.0102358293244091194, 0, 0, 0
COLON_0, 0.00343808826605312696, 0, 0, 0
COLON_1, 0.000222233842292407446, 0, 0, 0
COLON_17*, 3.92177368751307258e-05, 0, 0, 0
COLON_2, 0.0010588788956285296, 0, 0, 0
COLON_20*, 2.61451579167538172e-05, 0, 0, 0
COLON_3, 0.0010588788956285296, 0, 0, 0
COLON_9*, 0.000640556368960468521, 0, 0, 0
COMMA_0, 0.0547871784145576239, 0.000582411182294700058, 0.00172176308539944904, 0
DT_0, 0.00809192637523530642, 0, 0, 0
DT_1, 0.00230077389667433591, 0, 0, 0
DT_10, 0.000261451579167538172, 0, 0, 0
DT_107*, 0.00206546747542355156, 0, 0, 0
DT_11, 0.00156870947500522903, 0, 0, 0
DT_12, 0.000627483790002091613, 0, 0, 0
DT_13, 0.00143798368542145995, 0, 0, 0
DT_14, 0.00241842710729972809, 0, 0, 0
DT_15, 0.00158178205396360594, 0, 0, 0
DT_16, 0.000457540263543191801, 0, 0, 0
DT_165*, 1.30725789583769086e-05, 0, 0, 0
DT_17, 0.000941225685003137419, 0, 0, 0
DT_186*, 0.000196088684375653629, 0, 0, 0
DT_187*, 1.30725789583769086e-05, 0, 0, 0
DT_193*, 0.000379104789792930349, 0, 0, 0
DT_194*, 0.00260144321271700481, 0, 0, 0
DT_195*, 1.30725789583769086e-05, 0, 0.000344352617079889807, 0
DT_196*, 0.00405249947709684166, 0, 0.000344352617079889807, 0.00102301790281329923
DT_2, 0.00750366032210834553, 0, 0.000344352617079889807, 0
DT_201*, 9.15080527086383602e-05, 0, 0, 0
DT_202*, 1.30725789583769086e-05, 0, 0, 0
DT_203*, 0.00665394268981384648, 0, 0, 0
DT_236*, 0.00423551558251411839, 0, 0, 0
DT_237*, 0.00115038694833716796, 0, 0, 0
DT_238*, 1.30725789583769086e-05, 0, 0, 0
DT_239*, 0.00652321690023007739, 0, 0, 0
DT_240*, 0.000640556368960468521, 0, 0, 0
DT_241*, 0.0066931604266889772, 0, 0, 0
DT_243*, 0.000522903158335076344, 0, 0, 0
DT_244*, 0.00150334658021334449, 0, 0, 0
DT_25*, 0.000326814473959422715, 0, 0, 0
DT_26*, 0.00309820121313532734, 0, 0, 0
DT_262*, 1.30725789583769086e-05, 0, 0, 0
DT_287*, 0.000300669316042668898, 0, 0.000688705234159779614, 0.000511508951406649616
DT_290*, 6.5362894791884543e-05, 0, 0, 0
DT_291*, 0.000287596737084291989, 0, 0, 0
DT_292*, 0.00056212089521020707, 0, 0, 0
DT_293*, 0.000470612842501568709, 0, 0, 0
DT_294*, 0.000352959631876176532, 0, 0, 0
DT_295*, 0.000274524158125915081, 0, 0, 0
DT_296*, 0.000104580631667015269, 0, 0, 0
DT_297*, 0.000666701526877222338, 0, 0, 0
DT_3, 0.00558199121522693997, 0, 0, 0
DT_300*, 0.000130725789583769086, 0, 0, 0
